Order ID,Date,Customer,Product,Qty,Unit Price,Notes
1001, 2026-01-05 ,  Acme Corp ,Widget A,3,"$19.90",
1002,05/01/2026,acme corp,Widget A,1,$19.90,dup?
1003,2026-01-07,Beta LLC,widget b,2,"R$ 45,00",BRL
1004,Jan 9 2026,Beta  LLC,Widget B,,45.00,missing qty
1005,2026-01-12,Gamma Inc.,Widget C,10,"1,299.00",
1006,2026-02-01,ACME CORP,Widget A,4,"19,90",
1007,2026/02/03,gamma inc,Widget C,-1,1299,negative qty
1008,,Delta Co,Widget B,2,45,no date
1009,2026-02-15,Delta Co,WIDGET B,2,"$45.00 ",
1010,2026-02-15,Delta Co,WIDGET B,2,"$45.00",exact dup of 1009
1011,2026-03-02,"Epsilon, Partners",Widget A,5,19.9,
1012,2026-03-11,Beta LLC,,3,45,missing product
1013,2026-03-20,Gamma Inc.,Widget C,1,"1.299,00",EU format
1014,2026-03-28,  ,Widget A,2,19.9,blank customer
1015,2026-04-04,Acme Corp,Widget A,3,"$19.90",
